ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo,total_votos,posicion_cedula,origen_apellido,ganador
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,MIRIAM VICTORIA,BACALLA,DEL CASTILLO,F,122.0,4.0,CASTELLANO,1
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,HELDA,MOLINARI,TRAUCO,F,116.0,2.0,CASTELLANO,0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,SANTOS ARQUIMEDES,VARGAS,VALLE,M,14.0,1.0,CASTELLANO,0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,SAMUEL,MASLUCAN,VACALLA,M,11.0,3.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,EUGENIO ESLIVAN,TIRADO,ORTIZ,M,207.0,4.0,CASTELLANO,1
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,SEGUNDO PABLO,MAZA,SANCHEZ,M,147.0,6.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,MANUEL,ESPINOZA,ZAMORA,M,145.0,7.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JOSE DEMETRIO,BAZAN,TUESTA,M,79.0,3.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,ROBERTO,COTRINA,CHAVEZ,M,60.0,1.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,EDGAR ANTONIO,VIGO,OYARCE,M,46.0,2.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,JENNER ELEUDORO,ROJAS,CHAVEZ,M,28.0,5.0,CASTELLANO,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,FERNANDO ANTONIO,TRIGOSO,ZAGACETA,M,265.0,2.0,CASTELLANO,1
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ALAN HOMERO,CULQUIMBOZ,HUAMAN,M,219.0,1.0,CASTELLANO,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,JUAN ARILEZ,PILCO,QUIROZ,M,207.0,2.0,AYMARA,1
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MARIO ANTONIO,MAS,PINEDO,M,181.0,1.0,CASTELLANO,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,JUAN,TORREJON,QUIROZ,M,154.0,3.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,ALEJANDRO,ZELADA,ABANTO,M,313.0,1.0,CASTELLANO,1
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,HECTOR,DIAZ,AÑASCO,M,306.0,4.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,RUSBEL WILSON,ROJAS,CHANCAHUANA,M,151.0,6.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LLIEBING,ROJAS,ZABALETA,M,130.0,3.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,SAMUEL,RODRIGUEZ,ULLILEN,M,35.0,2.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,FROILAN,CRUZ,ROJAS,M,2.0,5.0,CASTELLANO,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ENOC,PILCO,VALLE,M,142.0,2.0,AYMARA,1
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,PEDRO,MASLUCAN,VALLE,M,106.0,3.0,CASTELLANO,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,ELIADES,PILCO,GUAYAMIZ,M,93.0,1.0,AYMARA,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,DEYSI,SOLANO,COTRINA,F,77.0,3.0,CASTELLANO,1
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,NELSON ANTONIO,HERRERA,ALVA,M,67.0,1.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,TODOS SOMOS AMAZONAS,ALCALDE DISTRITAL,MERLIN,INGA,CHUQUIZUTA,F,51.0,6.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,TOMAS,INGA,CRUZ,M,47.0,4.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,MARILU,SERVAN,CRUZ,F,36.0,5.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MARIBEL,CULQUI,PUSCAN,F,20.0,2.0,CASTELLANO,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,JULIO ABEL,CHAVEZ,FERNANDEZ,M,921.0,5.0,CASTELLANO,1
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,WALTER HUMBERTO,CULQUI,VELASQUEZ,M,647.0,4.0,CASTELLANO,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,SEGUNDO,TUCTO,GUIOP,M,498.0,6.0,CASTELLANO,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,FEDERICO,HUAMAN,PUIQUIN,M,260.0,1.0,QUECHUA,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,SINDULFO MELQUIADES,HUAMAN,HUAMAN,M,66.0,3.0,QUECHUA,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,TEOBALDO,CHAVEZ,HORNA,M,1.0,2.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ENGELS,ESCOBEDO,PORTAL,M,346.0,3.0,CASTELLANO,1
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,LAYNES,SILVA,VIGO,M,341.0,1.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,PEDRO MARLON,MENDOZA,REYNA,M,264.0,4.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,TODOS SOMOS AMAZONAS,ALCALDE DISTRITAL,VICTOR,CHAVEZ,BRIONES,M,246.0,8.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JOYCE JAMES,HIDALGO,DIAZ,F,236.0,6.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,ALBERTO,ESCOBEDO,VILLACORTA,M,168.0,5.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,DENNY,TAFUR,ESCOBEDO,M,86.0,7.0,CASTELLANO,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,RONALD,WAGTER,,M,74.0,2.0,CASTELLANO,0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,HERMEREGILDO,SALON,VALDIVIA,M,225.0,5.0,CASTELLANO,1
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LEONCIO,HERRERA,SANTILLAN,M,220.0,2.0,CASTELLANO,0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,JORGE,MENDOZA,JIMENEZ,M,178.0,1.0,CASTELLANO,0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,RODOLFO,INGA,HUAMAN,M,73.0,3.0,CASTELLANO,0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,FILIBERTO,TAFUR,TORREJON,M,4.0,4.0,CASTELLANO,0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,ROISER FRANCISCO,CRUZ,HUAMAN,M,217.0,5.0,CASTELLANO,1
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,JOSE LUIS,TENORIO,TAUMA,M,190.0,3.0,CASTELLANO,0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,JULIO ABEL,MESIA,CRUZ,M,84.0,1.0,CASTELLANO,0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,PEDRO PABLO,POQUIOMA,PUERTA,M,16.0,2.0,CASTELLANO,0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,YURI,GUABLOCHO,CHAVEZ,M,8.0,4.0,CASTELLANO,0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,EINEN,ROJAS,LOPEZ,M,251.0,5.0,CASTELLANO,1
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,PEDRO,TUESTA,CULQUI,M,135.0,3.0,CASTELLANO,0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,SEGUNDO IDELSO,BUSTAMANTE,LLAJA,M,116.0,4.0,CASTELLANO,0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,ROBERTO,RAMOS,GOMEZ,M,48.0,2.0,QUECHUA,0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,MARIA PETRONILA,VELA,CAMAN,F,17.0,1.0,CASTELLANO,0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,SEGUNDO ANAXIMANDRO,HUAMAN,SOPLA,M,432.0,3.0,QUECHUA,1
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,KENI ROY,PINEDO,MORI,M,413.0,5.0,CASTELLANO,0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,MIGUEL,PEREA,CRUZ,M,293.0,1.0,CASTELLANO,0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,MARIO ALFONSO,OLIVA,VALLE,M,72.0,4.0,CASTELLANO,0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,MANUEL ANTONIO,ROJAS,HUAMAN,M,12.0,2.0,CASTELLANO,0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,LEVÍ,MEZA,DAMACEN,M,214.0,1.0,CASTELLANO,1
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,EMILFERO,EPQUIN,ROJAS,M,130.0,2.0,CASTELLANO,0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,DELMER MANUEL,VERGARAY,SANCHEZ,M,124.0,4.0,CASTELLANO,0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,ALDONSO SALOME,VALLE,LLAJA,M,20.0,3.0,CASTELLANO,0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,VICTOR RAUL,CULQUI,PUERTA,M,147.0,1.0,CASTELLANO,1
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,CARLO MAGNO,INGA,GALOC,M,118.0,2.0,CASTELLANO,0
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,ROBERT,GOÑAS,PINEDO,M,295.0,3.0,CASTELLANO,1
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,GERARDO,GOMEZ,TRIGOSO,M,181.0,1.0,CASTELLANO,0
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,BRAULIO BALDEMAR,GOÑAS,CULQUI,M,168.0,2.0,CASTELLANO,0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,NELSON ERNESTO,LOPEZ,PORTOCARRERO,M,107.0,5.0,CASTELLANO,1
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ALFREDO,GOMEZ,CHAVEZ,M,85.0,3.0,CASTELLANO,0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,LUDMILIA,CULQUIMBOZ,RUIZ,F,73.0,2.0,CASTELLANO,0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,ALCIDES,SANTILLAN,DIAZ,M,11.0,4.0,CASTELLANO,0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,AIDA MERCEDES,CHAVEZ,VELA,F,9.0,1.0,CASTELLANO,0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,JHENRRY GERALD,SALON,MONTOYA,M,291.0,2.0,CASTELLANO,1
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,SEGUNDO MANUEL,VASQUEZ,CHAVEZ,M,68.0,1.0,CASTELLANO,0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,CHARLES ANTONIO,INGA,SANTILLAN,M,36.0,3.0,CASTELLANO,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,CELSO,BARDALES,MONTOYA,M,469.0,2.0,CASTELLANO,1
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,NORBERT,SANTILLAN,MAZUELOS,M,293.0,1.0,CASTELLANO,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,TEOFILO,TOCHON,SANTILLAN,M,143.0,4.0,CASTELLANO,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,OBRAS POR AMAZONAS,ALCALDE DISTRITAL,NIXON OMERO,LUCANA,CULQUI,M,56.0,3.0,CASTELLANO,0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,LAZARO,QUIROZ,CHUQUI,M,138.0,2.0,CASTELLANO,1
010121,AMAZONAS,CHACHAPOYAS,SONCHE,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,JUAN FRANCISCO,INGA,TRAUCO,M,80.0,3.0,CASTELLANO,0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,NIXON,CRUZ,MOLIN,M,14.0,1.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,ANAXIMANDRO,ROJAS,GIL,M,1461.0,7.0,CASTELLANO,1
010201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,DAVID,CESPEDES,CORREA,M,1026.0,2.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ZACARIAS,JARA,CABRERA,M,914.0,3.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,ALFONSO,MENDOZA,LINGAN,M,794.0,9.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,TODOS SOMOS AMAZONAS,ALCALDE DISTRITAL,LUZ MARIA,NAVARRO,BERNAL,F,613.0,8.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ABSALON,CARDOZO,DIAZ,M,344.0,4.0,CASTELLANO,0
010201,AMAZONAS,BAGUA,LA PECA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,MAGNO RUBEN,FLORIAN,CASTILLO,M,89.0,1.0,CASTELLANO,0
