ubigeo,region,provincia,distrito,organizacion_politica,total_votos
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,108
010102,Amazonas,Chachapoyas,Asunción,ALIANZA PARA EL PROGRESO,159
010103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,120
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,40
010103,Amazonas,Chachapoyas,Balsas,RENOVACION POPULAR,130
010103,Amazonas,Chachapoyas,Balsas,ALIANZA PARA EL PROGRESO,248
010104,Amazonas,Chachapoyas,Cheto,SENTIMIENTO AMAZONENSE REGIONAL,203
010104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,294
010104,Amazonas,Chachapoyas,Cheto,PARTIDO POLITICO NACIONAL PERU LIBRE,17
010105,Amazonas,Chachapoyas,Chiliquin,SENTIMIENTO AMAZONENSE REGIONAL,212
010105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,131
010105,Amazonas,Chachapoyas,Chiliquin,JUNTOS POR EL PERU,33
010105,Amazonas,Chachapoyas,Chiliquin,RENOVACION POPULAR,191
010105,Amazonas,Chachapoyas,Chiliquin,ALIANZA PARA EL PROGRESO,20
010106,Amazonas,Chachapoyas,Chuquibamba,SENTIMIENTO AMAZONENSE REGIONAL,479
010106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,298
010106,Amazonas,Chachapoyas,Chuquibamba,JUNTOS POR EL PERU,82
010106,Amazonas,Chachapoyas,Chuquibamba,RENOVACION POPULAR,93
010106,Amazonas,Chachapoyas,Chuquibamba,ALIANZA PARA EL PROGRESO,19
010107,Amazonas,Chachapoyas,Granada,SENTIMIENTO AMAZONENSE REGIONAL,169
010107,Amazonas,Chachapoyas,Granada,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,229
010108,Amazonas,Chachapoyas,Huancas,SENTIMIENTO AMAZONENSE REGIONAL,102
010108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,54
010108,Amazonas,Chachapoyas,Huancas,RENOVACION POPULAR,131
010108,Amazonas,Chachapoyas,Huancas,ALIANZA PARA EL PROGRESO,230
010109,Amazonas,Chachapoyas,La Jalca,SENTIMIENTO AMAZONENSE REGIONAL,1110
010109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,681
010109,Amazonas,Chachapoyas,La Jalca,JUNTOS POR EL PERU,995
010109,Amazonas,Chachapoyas,La Jalca,RENOVACION POPULAR,94
010110,Amazonas,Chachapoyas,Leimebamba,SENTIMIENTO AMAZONENSE REGIONAL,137
010110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,633
010110,Amazonas,Chachapoyas,Leimebamba,JUNTOS POR EL PERU,63
010110,Amazonas,Chachapoyas,Leimebamba,RENOVACION POPULAR,633
010110,Amazonas,Chachapoyas,Leimebamba,ALIANZA PARA EL PROGRESO,352
010111,Amazonas,Chachapoyas,Levanto,SENTIMIENTO AMAZONENSE REGIONAL,157
010111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,312
010111,Amazonas,Chachapoyas,Levanto,JUNTOS POR EL PERU,38
010111,Amazonas,Chachapoyas,Levanto,RENOVACION POPULAR,127
010111,Amazonas,Chachapoyas,Levanto,ALIANZA PARA EL PROGRESO,76
010112,Amazonas,Chachapoyas,Magdalena,SENTIMIENTO AMAZONENSE REGIONAL,76
010112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,239
010112,Amazonas,Chachapoyas,Magdalena,JUNTOS POR EL PERU,97
010112,Amazonas,Chachapoyas,Magdalena,RENOVACION POPULAR,89
010112,Amazonas,Chachapoyas,Magdalena,ALIANZA PARA EL PROGRESO,63
010113,Amazonas,Chachapoyas,Mariscal Castilla,SENTIMIENTO AMAZONENSE REGIONAL,210
010113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,113
010113,Amazonas,Chachapoyas,Mariscal Castilla,ALIANZA PARA EL PROGRESO,242
010114,Amazonas,Chachapoyas,Molinopampa,SENTIMIENTO AMAZONENSE REGIONAL,572
010114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,322
010114,Amazonas,Chachapoyas,Molinopampa,RENOVACION POPULAR,449
010115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,263
010115,Amazonas,Chachapoyas,Montevideo,JUNTOS POR EL PERU,198
010116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,179
010116,Amazonas,Chachapoyas,Olleros,RENOVACION POPULAR,110
010117,Amazonas,Chachapoyas,Quinjalca,SENTIMIENTO AMAZONENSE REGIONAL,222
010117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,162
010117,Amazonas,Chachapoyas,Quinjalca,RENOVACION POPULAR,163
010117,Amazonas,Chachapoyas,Quinjalca,ALIANZA PARA EL PROGRESO,111
010118,Amazonas,Chachapoyas,San Francisco de Daguas,SENTIMIENTO AMAZONENSE REGIONAL,103
010118,Amazonas,Chachapoyas,San Francisco de Daguas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,142
010119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,247
010119,Amazonas,Chachapoyas,San Isidro de Maino,RENOVACION POPULAR,217
010120,Amazonas,Chachapoyas,Soloco,SENTIMIENTO AMAZONENSE REGIONAL,413
010120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,168
010120,Amazonas,Chachapoyas,Soloco,JUNTOS POR EL PERU,165
010120,Amazonas,Chachapoyas,Soloco,RENOVACION POPULAR,192
010120,Amazonas,Chachapoyas,Soloco,ALIANZA PARA EL PROGRESO,13
010121,Amazonas,Chachapoyas,Sonche,SENTIMIENTO AMAZONENSE REGIONAL,75
010121,Amazonas,Chachapoyas,Sonche,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,87
010121,Amazonas,Chachapoyas,Sonche,RENOVACION POPULAR,95
010201,Amazonas,Bagua,La Peca,SENTIMIENTO AMAZONENSE REGIONAL,488
010201,Amazonas,Bagua,La Peca,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,1575
010201,Amazonas,Bagua,La Peca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,321
010201,Amazonas,Bagua,La Peca,RENOVACION POPULAR,600
010201,Amazonas,Bagua,La Peca,ALIANZA PARA EL PROGRESO,1239
010202,Amazonas,Bagua,Aramango,SENTIMIENTO AMAZONENSE REGIONAL,997
010202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,1424
010202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,1045
010202,Amazonas,Bagua,Aramango,RENOVACION POPULAR,352
