variable,coef,se,pvalue
Intercept,0.34017109566888176,0.002631231211752611,0.0
C(ubigeo)[T.10103],-0.1127384634445923,0.0007311957954592548,0.0
C(ubigeo)[T.10104],-0.024420582156870128,0.00038259765414529846,0.0
C(ubigeo)[T.10105],-0.10828616879158859,0.0007426598809586382,0.0
C(ubigeo)[T.10106],-0.1441666393576491,0.000992498529026035,0.0
C(ubigeo)[T.10107],-0.01962086331751057,0.00027535917488381,0.0
C(ubigeo)[T.10108],-0.14174384580557345,0.0009295328601315772,0.0
C(ubigeo)[T.10109],-0.16088683825123115,0.0013604940587426046,0.0
C(ubigeo)[T.10110],-0.07758938053320906,0.0010809224601983857,0.0
C(ubigeo)[T.10111],-0.12483805094203247,0.0007565774162720253,0.0
C(ubigeo)[T.10112],-0.13119223318737114,0.0009683800513528051,0.0
C(ubigeo)[T.10113],-0.10130952788322714,0.0006381002010283693,0.0
C(ubigeo)[T.10114],-0.06951756274255536,0.00032100051851874654,0.0
C(ubigeo)[T.10115],-0.06435363694713771,0.0006973709553600889,0.0
C(ubigeo)[T.10116],0.022233126545456294,0.0003502892409707195,0.0
C(ubigeo)[T.10117],-0.08463509380675985,0.0006910561271683026,0.0
C(ubigeo)[T.10118],-0.03640238858603023,0.0002309200966512939,0.0
C(ubigeo)[T.10119],0.022145342324255357,0.00015061644732495186,0.0
C(ubigeo)[T.10120],-0.14974303027789043,0.0011138245296501378,0.0
C(ubigeo)[T.10121],0.017465318839719378,0.00033996778894893797,0.0
C(ubigeo)[T.10201],-0.17449985830370915,0.0015226026121666976,0.0
C(ubigeo)[T.10202],-0.18392958176062188,0.0015511276671385484,0.0
C(ubigeo)[T.10203],-0.17985191922289587,0.0016035031563110744,0.0
C(ubigeo)[T.10204],-0.12903081917193446,0.0008598870340337536,0.0
C(ubigeo)[T.10206],-0.21289049677634428,0.0030594122281637276,0.0
C(ubigeo)[T.10302],-0.13579931442519882,0.0008207478871033889,0.0
C(ubigeo)[T.10303],-0.08735784190122217,0.0007148543254002058,0.0
C(ubigeo)[T.10304],-0.06978193625699339,0.00038505002794717654,0.0
C(ubigeo)[T.10305],-0.056502831969272506,0.00026590505028469946,0.0
C(ubigeo)[T.10306],-0.1700686144954459,0.001314573272677622,0.0
C(ubigeo)[T.10307],0.16500997824397126,0.0003057211387172985,0.0
C(ubigeo)[T.10308],-0.05644038329031984,0.000335468173745046,0.0
C(ubigeo)[T.10309],-0.14170221335289876,0.0009657097006154521,0.0
C(ubigeo)[T.10310],-0.1291249413845488,0.0007604663577599337,0.0
C(ubigeo)[T.10311],-0.14174384580556218,0.0009295328601317516,0.0
C(ubigeo)[T.10312],-0.17062289744138098,0.0012549153977145769,0.0
C(ubigeo)[T.10402],-0.1312539806963338,0.0008628493302914983,0.0
C(ubigeo)[T.10403],-0.09572964888154305,0.0005001533418979034,0.0
C(ubigeo)[T.10404],-0.12550799220892211,0.0008440956988495407,0.0
C(ubigeo)[T.10405],-0.10961792411167465,0.0007054424992962399,0.0
C(ubigeo)[T.10406],-0.09849342382512064,0.0007008052597909503,0.0
C(ubigeo)[T.10407],-0.060080401556085905,0.00044826019638156164,0.0
C(ubigeo)[T.10408],-0.07317673391166526,0.0004879775227970132,0.0
C(ubigeo)[T.10409],-0.11032198352675648,0.0007426752493416787,0.0
C(ubigeo)[T.10410],0.017465318839706485,0.000339967788949137,0.0
C(ubigeo)[T.10411],-0.11399530362021527,0.0006193742577827119,0.0
C(ubigeo)[T.10412],-0.12483805094202577,0.0007565774162714724,0.0
C(ubigeo)[T.10413],-0.041293710949388336,0.00021772981765997212,0.0
C(ubigeo)[T.10414],-0.15219465137984392,0.0011212859967463587,0.0
