ubigeo,region,provincia,distrito,organizacion_politica,total_votos
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,31
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,115
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,49
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA REGIONAL JUNTOS POR AMAZONAS,207
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,98
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,348
010104,AMAZONAS,CHACHAPOYAS,CHETO,ALIANZA REGIONAL JUNTOS POR AMAZONAS,134
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,106
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,135
010104,AMAZONAS,CHACHAPOYAS,CHETO,UNIDAD Y DEMOCRACIA DE AMAZONAS,33
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ALIANZA REGIONAL JUNTOS POR AMAZONAS,212
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,30
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,89
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,50
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,83
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,26
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA REGIONAL JUNTOS POR AMAZONAS,238
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,62
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,13
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,242
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO APRISTA PERUANO,162
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,UNIDAD Y DEMOCRACIA DE AMAZONAS,105
010107,AMAZONAS,CHACHAPOYAS,GRANADA,ALIANZA REGIONAL JUNTOS POR AMAZONAS,104
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,33
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,34
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,143
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,14
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,35
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,58
