ubigeo,region,provincia,distrito,organizacion_politica,total_votos
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ALIANZA PARA EL PROGRESO,155
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",22
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1157
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,875
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,2270
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,OBRAS POR AMAZONAS,494
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SENTIMIENTO AMAZONENSE REGIONAL,4670
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TODOS SOMOS AMAZONAS,1168
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,178
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,ALIANZA PARA EL PROGRESO,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,14
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,5
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,88
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,34
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,115
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,TODOS SOMOS AMAZONAS,3
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,UNIDAD Y DEMOCRACIA DE AMAZONAS,0
10103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,53
10103,AMAZONAS,CHACHAPOYAS,BALSAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,64
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,73
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,196
10103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,25
10103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,173
10103,AMAZONAS,CHACHAPOYAS,BALSAS,TODOS SOMOS AMAZONAS,2
10103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,118
10104,AMAZONAS,CHACHAPOYAS,CHETO,ALIANZA PARA EL PROGRESO,1
