año,ubigeo,departamento,provincia,distrito,organizacion_politica,tipo_agrupacion,posicion_cedula,votos,ganador,electores_habiles,votos_blancos,votos_nulos
2010,010202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO APRISTA PERUANO,NACIONAL,1,13.0,0,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,2,71.0,1,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,3,9.0,0,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,4,42.0,0,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,ACCION POPULAR,NACIONAL,5,5.0,0,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,ALIANZA REGIONAL JUNTOS POR AMAZONAS,REGIONAL,6,51.0,0,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,7,2.0,0,265.0,17.0,9.0
2010,010202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,REGIONAL,8,7.0,0,265.0,17.0,9.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,1,34.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,REGIONAL,2,3.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,PARTIDO APRISTA PERUANO,NACIONAL,3,8.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,ACCION POPULAR,NACIONAL,4,51.0,1,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,ALIANZA REGIONAL JUNTOS POR AMAZONAS,REGIONAL,5,46.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,DESARROLLO SOCIAL AMAZONENSE,REGIONAL,6,31.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,7,2.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,8,2.0,0,255.0,22.0,4.0
2010,010203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,9,4.0,0,255.0,22.0,4.0
2010,010204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,1,1.0,0,145.0,11.0,3.0
2010,010204,AMAZONAS,BAGUA,EL PARCO,PARTIDO APRISTA PERUANO,NACIONAL,2,6.0,0,145.0,11.0,3.0
2010,010204,AMAZONAS,BAGUA,EL PARCO,ACCION POPULAR,NACIONAL,3,26.0,0,145.0,11.0,3.0
2010,010204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,REGIONAL,4,44.0,1,145.0,11.0,3.0
2010,010204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,5,20.0,0,145.0,11.0,3.0
