ubigeo,region,provincia,distrito,organizacion_politica,total_votos,partido_regional
10102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,137,1
10102,Amazonas,Chachapoyas,Asunción,SENTIMIENTO AMAZONENSE REGIONAL,100,1
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,245,1
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,22,1
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,51,1
10103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,337,1
10103,Amazonas,Chachapoyas,Balsas,ALIANZA PARA EL PROGRESO,84,1
10104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,186,1
10104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,106,1
10104,Amazonas,Chachapoyas,Cheto,SENTIMIENTO AMAZONENSE REGIONAL,158,1
10105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,123,1
10105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,211,1
10105,Amazonas,Chachapoyas,Chiliquin,SENTIMIENTO AMAZONENSE REGIONAL,153,1
10106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,165,1
10106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,293,1
10106,Amazonas,Chachapoyas,Chuquibamba,SENTIMIENTO AMAZONENSE REGIONAL,381,1
10106,Amazonas,Chachapoyas,Chuquibamba,ALIANZA PARA EL PROGRESO,128,1
10107,Amazonas,Chachapoyas,Granada,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,172,1
10107,Amazonas,Chachapoyas,Granada,SENTIMIENTO AMAZONENSE REGIONAL,166,1
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,151,1
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,24,1
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,59,1
10108,Amazonas,Chachapoyas,Huancas,SENTIMIENTO AMAZONENSE REGIONAL,88,1
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,342,1
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,241,1
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,80,1
10109,Amazonas,Chachapoyas,La Jalca,SENTIMIENTO AMAZONENSE REGIONAL,874,1
10109,Amazonas,Chachapoyas,La Jalca,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",80,1
10109,Amazonas,Chachapoyas,La Jalca,ALIANZA PARA EL PROGRESO,430,1
10109,Amazonas,Chachapoyas,La Jalca,FUERZA POPULAR,257,1
10109,Amazonas,Chachapoyas,La Jalca,PERUANOS POR EL KAMBIO,285,0
10110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,540,1
10110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,610,1
10110,Amazonas,Chachapoyas,Leimebamba,SENTIMIENTO AMAZONENSE REGIONAL,221,1
10110,Amazonas,Chachapoyas,Leimebamba,ALIANZA PARA EL PROGRESO,58,1
10110,Amazonas,Chachapoyas,Leimebamba,PARTIDO APRISTA PERUANO,238,0
10111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,283,1
10111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,92,1
10111,Amazonas,Chachapoyas,Levanto,SENTIMIENTO AMAZONENSE REGIONAL,336,1
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,199,1
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,56,1
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,236,1
10112,Amazonas,Chachapoyas,Magdalena,ALIANZA PARA EL PROGRESO,29,1
10113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,184,1
10113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,177,1
10113,Amazonas,Chachapoyas,Mariscal Castilla,SENTIMIENTO AMAZONENSE REGIONAL,181,1
10114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,241,1
10114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,389,1
10114,Amazonas,Chachapoyas,Molinopampa,SENTIMIENTO AMAZONENSE REGIONAL,674,1
10115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,45,1
10115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,157,1
10115,Amazonas,Chachapoyas,Montevideo,SENTIMIENTO AMAZONENSE REGIONAL,207,1
10115,Amazonas,Chachapoyas,Montevideo,ACCION POPULAR,49,0
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,121,1
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,29,1
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,71,1
10116,Amazonas,Chachapoyas,Olleros,SENTIMIENTO AMAZONENSE REGIONAL,72,1
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,156,1
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,122,1
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,165,1
10117,Amazonas,Chachapoyas,Quinjalca,SENTIMIENTO AMAZONENSE REGIONAL,142,1
10118,Amazonas,Chachapoyas,San Francisco de Daguas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,98,1
10118,Amazonas,Chachapoyas,San Francisco de Daguas,SENTIMIENTO AMAZONENSE REGIONAL,110,1
10118,Amazonas,Chachapoyas,San Francisco de Daguas,ALIANZA PARA EL PROGRESO,11,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,29,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,153,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,SENTIMIENTO AMAZONENSE REGIONAL,95,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,ALIANZA PARA EL PROGRESO,16,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,FUERZA POPULAR,121,1
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,117,1
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,227,1
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,188,1
