ubigeo,region,provincia,distrito,organizacion_politica,total_votos
010101,Amazonas,Chachapoyas,Chachapoyas,TOTAL DE VOTOS VALIDOS,0
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,137
010102,Amazonas,Chachapoyas,Asunción,SENTIMIENTO AMAZONENSE REGIONAL,100
010102,Amazonas,Chachapoyas,Asunción,TOTAL DE VOTOS VALIDOS,237
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,245
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,22
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,51
010103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,337
010103,Amazonas,Chachapoyas,Balsas,ALIANZA PARA EL PROGRESO,84
010103,Amazonas,Chachapoyas,Balsas,TOTAL DE VOTOS VALIDOS,739
010104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,186
010104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,106
010104,Amazonas,Chachapoyas,Cheto,SENTIMIENTO AMAZONENSE REGIONAL,158
010104,Amazonas,Chachapoyas,Cheto,TOTAL DE VOTOS VALIDOS,450
010105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,123
010105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,211
010105,Amazonas,Chachapoyas,Chiliquin,SENTIMIENTO AMAZONENSE REGIONAL,153
010105,Amazonas,Chachapoyas,Chiliquin,TOTAL DE VOTOS VALIDOS,487
010106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,165
010106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,293
010106,Amazonas,Chachapoyas,Chuquibamba,SENTIMIENTO AMAZONENSE REGIONAL,381
010106,Amazonas,Chachapoyas,Chuquibamba,ALIANZA PARA EL PROGRESO,128
010106,Amazonas,Chachapoyas,Chuquibamba,TOTAL DE VOTOS VALIDOS,967
010107,Amazonas,Chachapoyas,Granada,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,172
010107,Amazonas,Chachapoyas,Granada,SENTIMIENTO AMAZONENSE REGIONAL,166
010107,Amazonas,Chachapoyas,Granada,TOTAL DE VOTOS VALIDOS,338
010108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,151
010108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,24
010108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,59
010108,Amazonas,Chachapoyas,Huancas,SENTIMIENTO AMAZONENSE REGIONAL,88
010108,Amazonas,Chachapoyas,Huancas,TOTAL DE VOTOS VALIDOS,322
010109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,342
010109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,241
010109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,80
010109,Amazonas,Chachapoyas,La Jalca,SENTIMIENTO AMAZONENSE REGIONAL,874
010109,Amazonas,Chachapoyas,La Jalca,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",80
010109,Amazonas,Chachapoyas,La Jalca,ALIANZA PARA EL PROGRESO,430
010109,Amazonas,Chachapoyas,La Jalca,FUERZA POPULAR,257
010109,Amazonas,Chachapoyas,La Jalca,PERUANOS POR EL KAMBIO,285
010109,Amazonas,Chachapoyas,La Jalca,TOTAL DE VOTOS VALIDOS,2589
010110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,540
010110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,610
010110,Amazonas,Chachapoyas,Leimebamba,SENTIMIENTO AMAZONENSE REGIONAL,221
010110,Amazonas,Chachapoyas,Leimebamba,ALIANZA PARA EL PROGRESO,58
010110,Amazonas,Chachapoyas,Leimebamba,PARTIDO APRISTA PERUANO,238
010110,Amazonas,Chachapoyas,Leimebamba,TOTAL DE VOTOS VALIDOS,1667
010111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,283
010111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,92
010111,Amazonas,Chachapoyas,Levanto,SENTIMIENTO AMAZONENSE REGIONAL,336
010111,Amazonas,Chachapoyas,Levanto,TOTAL DE VOTOS VALIDOS,711
010112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,199
010112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,56
010112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,236
010112,Amazonas,Chachapoyas,Magdalena,ALIANZA PARA EL PROGRESO,29
010112,Amazonas,Chachapoyas,Magdalena,TOTAL DE VOTOS VALIDOS,520
010113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,184
010113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,177
010113,Amazonas,Chachapoyas,Mariscal Castilla,SENTIMIENTO AMAZONENSE REGIONAL,181
010113,Amazonas,Chachapoyas,Mariscal Castilla,TOTAL DE VOTOS VALIDOS,542
010114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,241
010114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,389
010114,Amazonas,Chachapoyas,Molinopampa,SENTIMIENTO AMAZONENSE REGIONAL,674
010114,Amazonas,Chachapoyas,Molinopampa,TOTAL DE VOTOS VALIDOS,1304
010115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,45
010115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,157
010115,Amazonas,Chachapoyas,Montevideo,SENTIMIENTO AMAZONENSE REGIONAL,207
010115,Amazonas,Chachapoyas,Montevideo,ACCION POPULAR,49
010115,Amazonas,Chachapoyas,Montevideo,TOTAL DE VOTOS VALIDOS,458
010116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,121
010116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,29
010116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,71
010116,Amazonas,Chachapoyas,Olleros,SENTIMIENTO AMAZONENSE REGIONAL,72
010116,Amazonas,Chachapoyas,Olleros,TOTAL DE VOTOS VALIDOS,293
010117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,156
010117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,122
010117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,165
010117,Amazonas,Chachapoyas,Quinjalca,SENTIMIENTO AMAZONENSE REGIONAL,142
010117,Amazonas,Chachapoyas,Quinjalca,TOTAL DE VOTOS VALIDOS,585
010118,Amazonas,Chachapoyas,San Francisco de Daguas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,98
010118,Amazonas,Chachapoyas,San Francisco de Daguas,SENTIMIENTO AMAZONENSE REGIONAL,110
010118,Amazonas,Chachapoyas,San Francisco de Daguas,ALIANZA PARA EL PROGRESO,11
010118,Amazonas,Chachapoyas,San Francisco de Daguas,TOTAL DE VOTOS VALIDOS,219
010119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,29
010119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,153
010119,Amazonas,Chachapoyas,San Isidro de Maino,SENTIMIENTO AMAZONENSE REGIONAL,95
010119,Amazonas,Chachapoyas,San Isidro de Maino,ALIANZA PARA EL PROGRESO,16
010119,Amazonas,Chachapoyas,San Isidro de Maino,FUERZA POPULAR,121
010119,Amazonas,Chachapoyas,San Isidro de Maino,TOTAL DE VOTOS VALIDOS,414
010120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,117
010120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,227
010120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,188
010120,Amazonas,Chachapoyas,Soloco,SENTIMIENTO AMAZONENSE REGIONAL,335
010120,Amazonas,Chachapoyas,Soloco,TOTAL DE VOTOS VALIDOS,867
010121,Amazonas,Chachapoyas,Sonche,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,95
010121,Amazonas,Chachapoyas,Sonche,SENTIMIENTO AMAZONENSE REGIONAL,85
010121,Amazonas,Chachapoyas,Sonche,ALIANZA PARA EL PROGRESO,48
010121,Amazonas,Chachapoyas,Sonche,TOTAL DE VOTOS VALIDOS,228
010201,Amazonas,Bagua,La Peca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,1166
010201,Amazonas,Bagua,La Peca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1546
010201,Amazonas,Bagua,La Peca,SENTIMIENTO AMAZONENSE REGIONAL,1716
010201,Amazonas,Bagua,La Peca,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,105
010201,Amazonas,Bagua,La Peca,ALIANZA PARA EL PROGRESO,90
010201,Amazonas,Bagua,La Peca,FUERZA POPULAR,262
010201,Amazonas,Bagua,La Peca,TOTAL DE VOTOS VALIDOS,4885
010202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,643
010202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,41
010202,Amazonas,Bagua,Aramango,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,413
010202,Amazonas,Bagua,Aramango,SENTIMIENTO AMAZONENSE REGIONAL,586
010202,Amazonas,Bagua,Aramango,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,248
010202,Amazonas,Bagua,Aramango,ALIANZA PARA EL PROGRESO,36
010202,Amazonas,Bagua,Aramango,FUERZA POPULAR,356
010202,Amazonas,Bagua,Aramango,TOTAL DE VOTOS VALIDOS,2323
010203,Amazonas,Bagua,Copallin,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,589
010203,Amazonas,Bagua,Copallin,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1008
010203,Amazonas,Bagua,Copallin,SENTIMIENTO AMAZONENSE REGIONAL,834
010203,Amazonas,Bagua,Copallin,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,65
010203,Amazonas,Bagua,Copallin,ALIANZA PARA EL PROGRESO,105
010203,Amazonas,Bagua,Copallin,FUERZA POPULAR,340
010203,Amazonas,Bagua,Copallin,TOTAL DE VOTOS VALIDOS,2941
010204,Amazonas,Bagua,El Parco,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,212
010204,Amazonas,Bagua,El Parco,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,205
