ubigeo,region,provincia,distrito,organizacion_politica,total_votos
010101,Amazonas,Chachapoyas,Chachapoyas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,2193
010101,Amazonas,Chachapoyas,Chachapoyas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,4720
010101,Amazonas,Chachapoyas,Chachapoyas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1454
010101,Amazonas,Chachapoyas,Chachapoyas,SENTIMIENTO AMAZONENSE REGIONAL,1706
010101,Amazonas,Chachapoyas,Chachapoyas,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",906
010101,Amazonas,Chachapoyas,Chachapoyas,FUERZA POPULAR,372
010101,Amazonas,Chachapoyas,Chachapoyas,ACCION POPULAR,458
010101,Amazonas,Chachapoyas,Chachapoyas,TOTAL DE VOTOS VALIDOS,11809
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,3
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,4
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,106
010102,Amazonas,Chachapoyas,Asunción,SENTIMIENTO AMAZONENSE REGIONAL,126
010102,Amazonas,Chachapoyas,Asunción,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1
010102,Amazonas,Chachapoyas,Asunción,FUERZA POPULAR,1
010102,Amazonas,Chachapoyas,Asunción,ACCION POPULAR,1
010102,Amazonas,Chachapoyas,Asunción,TOTAL DE VOTOS VALIDOS,242
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,236
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,46
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,51
010103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,328
