ubigeo,region,provincia,distrito,organizacion_politica,total_votos
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,108
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,ALIANZA PARA EL PROGRESO,159
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,120
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,40
010103,AMAZONAS,CHACHAPOYAS,BALSAS,RENOVACION POPULAR,130
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,248
010104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,203
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,294
010104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO POLITICO NACIONAL PERU LIBRE,17
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,212
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,131
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,JUNTOS POR EL PERU,33
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,RENOVACION POPULAR,191
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ALIANZA PARA EL PROGRESO,20
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,479
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,298
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,JUNTOS POR EL PERU,82
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,RENOVACION POPULAR,93
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,19
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,169
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,229
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,SENTIMIENTO AMAZONENSE REGIONAL,102
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,54
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,RENOVACION POPULAR,131
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,ALIANZA PARA EL PROGRESO,230
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,SENTIMIENTO AMAZONENSE REGIONAL,1110
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,681
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,JUNTOS POR EL PERU,995
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,RENOVACION POPULAR,94
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,137
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,633
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,JUNTOS POR EL PERU,63
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,RENOVACION POPULAR,633
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,ALIANZA PARA EL PROGRESO,352
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,SENTIMIENTO AMAZONENSE REGIONAL,157
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,312
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,JUNTOS POR EL PERU,38
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,RENOVACION POPULAR,127
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,ALIANZA PARA EL PROGRESO,76
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SENTIMIENTO AMAZONENSE REGIONAL,76
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,239
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,JUNTOS POR EL PERU,97
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,RENOVACION POPULAR,89
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,ALIANZA PARA EL PROGRESO,63
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SENTIMIENTO AMAZONENSE REGIONAL,210
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,113
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ALIANZA PARA EL PROGRESO,242
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SENTIMIENTO AMAZONENSE REGIONAL,572
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,322
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,RENOVACION POPULAR,449
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,263
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,JUNTOS POR EL PERU,198
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,179
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,RENOVACION POPULAR,110
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,SENTIMIENTO AMAZONENSE REGIONAL,222
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,162
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,RENOVACION POPULAR,163
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,ALIANZA PARA EL PROGRESO,111
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SENTIMIENTO AMAZONENSE REGIONAL,103
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,142
