ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo,total_votos
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,HELDA,MOLINARI,TRAUCO,F,88.0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ROMULO FLUMENCIO,VARGAS,MAS,M,50.0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,ACCION POPULAR,ALCALDE DISTRITAL,WILDER,JIMENEZ,GOÑAS,M,35.0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,AUGUSTO,CAMUS,GONGORA,M,23.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,UNION POR EL PERU,ALCALDE DISTRITAL,EUGENIO ESLIVAN,TIRADO,ORTIZ,M,155.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ROBERTO,COTRINA,CHAVEZ,M,148.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,JOSE DEMETRIO,BAZAN,TUESTA,M,104.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,SEGUNDO ANDRES,ABANTO,YOPLAC,M,103.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ACCION POPULAR,ALCALDE DISTRITAL,ELMER,BAZAN,MUÑOZ,M,41.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ELITA,CULQUIMBOZ,HUAMAN,F,101.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,ULISES,SANTILLAN,TEJADA,M,100.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,JACINTO,VIN,ROJAS,M,77.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,ACCION POPULAR,ALCALDE DISTRITAL,PEDRO SEGUNDO,REATEGUI,PEREA,M,55.0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,LAZARO,QUIROZ,CHUQUI,M,222.0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,UNION POR EL PERU,ALCALDE DISTRITAL,MARIO ANTONIO,MAS,PINEDO,M,150.0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ACCION POPULAR,ALCALDE DISTRITAL,NEY FLORES,PUERTA,SALAZAR,M,20.0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JAIME,PINEDO,SOPLA,M,17.0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,CELSO LEUMAN,PORTAL,BUSTAMANTE,M,174.0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,RUSBEL WILSON,ROJAS,CHANCAHUANA,M,135.0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,UNION POR EL PERU,ALCALDE DISTRITAL,HECTOR,DIAZ,AÑASCO,M,118.0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,WINDER SEGUNDO,VEGA,PORTAL,M,96.0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ENOC,PILCO,VALLE,M,63.0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,ACCION POPULAR,ALCALDE DISTRITAL,ELIADES,PILCO,GUAYAMIZ,M,51.0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,PEDRO,MASLUCAN,VALLE,M,50.0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,UNION POR EL PERU,ALCALDE DISTRITAL,MANUEL,CHAVEZ,VARGAS,M,47.0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,CESAR AUGUSTO,CHUQUIVALA,BORBOR,M,12.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,UNION POR EL PERU,ALCALDE DISTRITAL,ASUNCION,INGA,CRUZ,M,82.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JUAN,CULQUI,PUSCAN,M,60.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,OLGA MERCEDES,HERRERA,ALVA,F,43.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,TOMAS,INGA,CRUZ,M,39.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,ACCION POPULAR,ALCALDE DISTRITAL,EDUARDO FAUSTO,DILAS,CERNA,M,28.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,RICARDO,SOPLIN,FLORES,M,22.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,UNION POR EL PERU,ALCALDE DISTRITAL,JOSE TULIO,CULQUI,VELASQUEZ,M,734.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,WILZON ISAIAS,PUSCAN,CULQUI,M,329.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,INTEGRACION 6 DE JUNIO,ALCALDE DISTRITAL,VICTOR,ROJAS,HORNA,M,312.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,SINDULFO MELQUIADES,HUAMAN,HUAMAN,M,166.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,SEGUNDO,TUCTO,GUIOP,M,138.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,FRANCISCO JAVIER,HUAMAN,HUAMAN,M,45.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,ACCION POPULAR,ALCALDE DISTRITAL,CESAR JULIO,OYARCE,ACOSTA,M,29.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,ANGEL ERNESTO,CAMAN,CAMAN,M,20.0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,ACCION POPULAR,ALCALDE DISTRITAL,RODOLFO,INGA,HUAMAN,M,125.0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JUAN FRANCISCO,SALON,VALDIVIA,M,124.0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,FILIBERTO,INGA,HUAMAN,M,120.0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,UNION POR EL PERU,ALCALDE DISTRITAL,LUIS OMERO,CASTILLO,SANTILLAN,M,92.0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,DIOGENES HUMBERTO,ZAVALETA,TENORIO,M,209.0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,EUSTORGIO,MESIA,CRUZ,M,158.0
