ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,ALCALDE DISTRITAL,MIRIAM VICTORIA BACALLA,DEL,CASTILLO,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,LUIS ALBERTO,GARCIA,HUAMAN,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,LEONARDO,PUERTA,VARGAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,JUANA VICTORIA,MAGALLAN,MIXAN,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,CASILDA,MAS,CARO,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,REGIDOR DISTRITAL,LEYDI PATRICIA,VALLE,ATANACIO,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,HELDA,MOLINARI,TRAUCO,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,HIPOLITO,MAS,CHAMOLI,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,CONSUELO TRAUCO SOPLA,DE,VARGAS,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,MIGUEL ANGEL,GOÑAS,MONTENEGRO,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,EDGAR WILFREDO,CAMUS,VARGAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIDOR DISTRITAL,ZELENI,CUSCO,MAS,F
