variable,coef,se,pvalue
Intercept,0.3179394933418919,0.005011725918857375,0.0
C(ubigeo)[T.10103],-0.10264933728732889,0.0023934823993677417,0.0
C(ubigeo)[T.10104],-0.014637019082491964,0.0020780936784287516,1.8749185837756947e-12
C(ubigeo)[T.10105],-0.10181362657595042,0.0019320849357895079,0.0
C(ubigeo)[T.10106],-0.13313255191572881,0.002838289170319004,0.0
C(ubigeo)[T.10107],-0.0172117589183879,0.0009646784865682045,3.3375554860855376e-71
C(ubigeo)[T.10108],-0.13489986338767934,0.0018792686963220828,0.0
C(ubigeo)[T.10109],-0.15071514203896189,0.003202845415552723,0.0
C(ubigeo)[T.10110],-0.0663448672179742,0.0028758606847706846,9.359129855223242e-118
C(ubigeo)[T.10111],-0.11754881759594572,0.0019028272345031222,0.0
C(ubigeo)[T.10112],-0.12127495590811131,0.0025397209613580514,0.0
C(ubigeo)[T.10113],-0.09061521411759886,0.002372015795705695,0.0
C(ubigeo)[T.10114],-0.062057214931050333,0.001649801091862232,1.22384050238283e-309
C(ubigeo)[T.10115],-0.058881725522397524,0.0015627466835239153,0.0
C(ubigeo)[T.10116],0.027149196702608888,0.0011519693082335891,8.278866541948158e-123
C(ubigeo)[T.10117],-0.07547151686544888,0.0023398009141606143,2.942846689646924e-228
C(ubigeo)[T.10118],-0.030044408715689187,0.0016181045755742991,5.871087807877404e-77
C(ubigeo)[T.10119],0.023886665094326204,0.0004475148482740148,0.0
C(ubigeo)[T.10120],-0.13809751682297933,0.0031730738446448807,0.0
C(ubigeo)[T.10121],0.0222915228627468,0.0010247457846119532,6.4394227047593265e-105
C(ubigeo)[T.10201],-0.16562994074372211,0.0030257180399457166,0.0
C(ubigeo)[T.10202],-0.1752282720231654,0.0028191008220884253,0.0
C(ubigeo)[T.10203],-0.1685563699993742,0.0033368657227846876,0.0
C(ubigeo)[T.10204],-0.12347452209409823,0.0021037181976495184,0.0
C(ubigeo)[T.10206],-0.20284349978656227,0.004318876832387622,0.0
C(ubigeo)[T.10302],-0.13156022538184006,0.0017303324733792618,0.0
C(ubigeo)[T.10303],-0.08114963635965529,0.0016811733264735344,0.0
C(ubigeo)[T.10304],-0.0652981509935388,0.0016001707104017924,0.0
C(ubigeo)[T.10305],-0.05021899756954067,0.0013183580047796428,0.0
C(ubigeo)[T.10306],-0.1619463708072388,0.0027528289165801175,0.0
C(ubigeo)[T.10307],0.16990701693272625,0.0010194878038890982,0.0
C(ubigeo)[T.10308],-0.053523262273476244,0.001258737614508317,0.0
C(ubigeo)[T.10309],-0.13573697468892937,0.0019956597240790718,0.0
C(ubigeo)[T.10310],-0.12405393325261976,0.0017359668649210012,0.0
C(ubigeo)[T.10311],-0.13467519551578755,0.002432903927187237,0.0
C(ubigeo)[T.10312],-0.16506245112702705,0.002416365643925313,0.0
C(ubigeo)[T.10402],-0.11905093290359588,0.0027502739830260184,0.0
C(ubigeo)[T.10403],-0.08727099642791106,0.001803077557753645,0.0
C(ubigeo)[T.10404],-0.1183691150734878,0.0018808402721553971,0.0
C(ubigeo)[T.10405],-0.10182494857694666,0.0018982043647965163,0.0
C(ubigeo)[T.10406],-0.08766691074947164,0.0023802329260054853,5.842037135367806e-297
C(ubigeo)[T.10407],-0.04885669515354487,0.00238748081977195,4.5360357474205144e-93
C(ubigeo)[T.10408],-0.05925323950552346,0.002948899336699251,8.438829547966763e-90
C(ubigeo)[T.10409],-0.10160468203692472,0.0022715903052519227,0.0
C(ubigeo)[T.10410],0.028479505483846937,0.0022202271479541103,1.1532262534309532e-37
C(ubigeo)[T.10411],-0.10569044225073373,0.002071126782588861,0.0
C(ubigeo)[T.10412],-0.11547560938095563,0.0023546839805803597,0.0
C(ubigeo)[T.10413],-0.03320729776420774,0.0017140769674770708,1.2971727923172953e-83
C(ubigeo)[T.10414],-0.14094905012274722,0.0029620164746687106,0.0
C(ubigeo)[T.10415],-0.15369881538528704,0.002816808786683799,0.0
C(ubigeo)[T.10416],-0.08689715566380098,0.0015595818778070178,0.0
C(ubigeo)[T.10417],-0.07301124309601661,0.0025212602043440703,2.2103759017656865e-184
C(ubigeo)[T.10418],-0.04925295082539474,0.0017871991109120273,3.477403868674923e-167
