model,variable,coef,se,pvalue,nobs,r2
m1,Intercept,0.2065957972235557,0.0060186669683182665,3.2309741609463845e-258,51862,0.01158640393260213
m1,position,-0.010947999466340945,0.002359913014810159,3.49838614422223e-06,51862,0.01158640393260213
m1,position_sq,-8.292882548229029e-05,0.00018515361224710669,0.6542311275215275,51862,0.01158640393260213
m1,movement,0.09633904554676379,0.0174944201920513,3.6532339981398066e-08,51862,0.01158640393260213
m1,position:movement,-0.025786086739136904,0.007923784744239947,0.0011368661128443097,51862,0.01158640393260213
m1,position_sq:movement,0.0018021633589949838,0.000790901191926769,0.02268965760385553,51862,0.01158640393260213
m2,Intercept,0.31997935762309865,0.006981317439824884,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10103],-0.09386742422911895,0.0029565835425410503,3.318418472908586e-221,51862,0.034120678215294964
m2,C(ubigeo)[T.10104],-0.006981497780980948,0.0023030969020138635,0.0024346110833563055,51862,0.034120678215294964
m2,C(ubigeo)[T.10105],-0.09028370262704197,0.0022773967415191587,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10106],-0.12193756206968727,0.0034712421313686584,2.525727881309953e-270,51862,0.034120678215294964
m2,C(ubigeo)[T.10107],-0.012697542810820557,0.0017634539064288791,6.004383996281374e-13,51862,0.034120678215294964
m2,C(ubigeo)[T.10108],-0.12795742896064094,0.0024006191594984267,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10109],-0.141097583099,0.0038562458570320464,4.222219897163123e-293,51862,0.034120678215294964
m2,C(ubigeo)[T.10110],-0.05581867517439846,0.0035081892338009054,5.318755183416175e-57,51862,0.034120678215294964
m2,C(ubigeo)[T.10111],-0.10762292631746773,0.002286830384680272,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10112],-0.11059377588391085,0.0029412577152710916,2.08233942350167e-309,51862,0.034120678215294964
m2,C(ubigeo)[T.10113],-0.08385246345428596,0.0029058917058506356,4.2583275136921744e-183,51862,0.034120678215294964
m2,C(ubigeo)[T.10114],-0.05631608632383142,0.0020619596119216335,3.061423756843231e-164,51862,0.034120678215294964
m2,C(ubigeo)[T.10115],-0.055545659620438344,0.0019584679612068483,5.988760728018911e-177,51862,0.034120678215294964
m2,C(ubigeo)[T.10116],0.030376022092763206,0.0012831454052292955,6.8274363752212976e-124,51862,0.034120678215294964
m2,C(ubigeo)[T.10117],-0.06528859749450606,0.0027178364304372296,1.6276019716407338e-127,51862,0.034120678215294964
m2,C(ubigeo)[T.10118],-0.025174798331846427,0.0025406515094063865,3.8121101025996756e-23,51862,0.034120678215294964
m2,C(ubigeo)[T.10119],0.025666949713421323,0.0006275349015913475,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10120],-0.1273001926426562,0.003432161943421168,4.015143810251081e-301,51862,0.034120678215294964
m2,C(ubigeo)[T.10121],0.027866721566429924,0.0009731050170174928,2.3332992798798104e-180,51862,0.034120678215294964
m2,C(ubigeo)[T.10201],-0.15548381940409467,0.003740891071416845,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10202],-0.16445699768180522,0.0034506370582596878,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10203],-0.15747282325419854,0.003828954697897517,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10204],-0.1137270980532316,0.0028658111630642568,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10206],-0.1938247052375984,0.004656716627337649,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10302],-0.12283193731208616,0.0026554924170526994,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10303],-0.07009766837052629,0.0017901662439918362,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10304],-0.05746660651777652,0.0024625863471553046,1.917601472927598e-120,51862,0.034120678215294964
m2,C(ubigeo)[T.10305],-0.045436102055857394,0.00145923224540637,7.608663566458618e-213,51862,0.034120678215294964
m2,C(ubigeo)[T.10306],-0.1495476286790851,0.003582277871663719,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10307],0.1722538277911454,0.001191229707755205,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10308],-0.045462339181409246,0.0021621216175681905,3.735560033660957e-98,51862,0.034120678215294964
m2,C(ubigeo)[T.10309],-0.12705635581704466,0.0027706777182178537,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10310],-0.1156388591198564,0.002534922845848753,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10311],-0.12461767216803073,0.003407209022138127,7.220588161246272e-293,51862,0.034120678215294964
m2,C(ubigeo)[T.10312],-0.15265117142203877,0.003294479964129011,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10402],-0.10856805601586415,0.0031126350461346307,1.5056859892853835e-266,51862,0.034120678215294964
m2,C(ubigeo)[T.10403],-0.08038581092396382,0.001905133824745666,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10404],-0.11335614560189504,0.0023386381244387563,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10405],-0.09629027359850212,0.002471540372090168,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10406],-0.07689851157941491,0.0024466171180952323,7.74290354212271e-217,51862,0.034120678215294964
m2,C(ubigeo)[T.10407],-0.039012484595697144,0.0025249474340506384,7.450060159271594e-54,51862,0.034120678215294964
m2,C(ubigeo)[T.10408],-0.04847713304278122,0.003238754527962147,1.1914256337077856e-50,51862,0.034120678215294964
m2,C(ubigeo)[T.10409],-0.09575888922393742,0.002594898908419013,4.175787277874788e-298,51862,0.034120678215294964
m2,C(ubigeo)[T.10410],0.03612565830088711,0.0023426830846333007,1.1893113885332931e-53,51862,0.034120678215294964
m2,C(ubigeo)[T.10411],-0.09703148680693605,0.0025748829479761573,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10412],-0.10483573538506183,0.0027174230802083344,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10413],-0.026971325942613384,0.001998154136453661,1.6041580714067912e-41,51862,0.034120678215294964
m2,C(ubigeo)[T.10414],-0.13178981862263878,0.003613330941364062,2.9482460627003017e-291,51862,0.034120678215294964
m2,C(ubigeo)[T.10415],-0.14406898592876508,0.0033349751102005254,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10416],-0.0803075523593702,0.002309489074348923,6.255850233175302e-265,51862,0.034120678215294964
m2,C(ubigeo)[T.10417],-0.06402014118975936,0.002705517954627633,8.713993949660088e-124,51862,0.034120678215294964
m2,C(ubigeo)[T.10418],-0.04176067273064397,0.0023269568018592147,5.113442922093752e-72,51862,0.034120678215294964
m2,C(ubigeo)[T.10419],-0.11941617504238274,0.0028566047393939796,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10420],-0.13429069777943137,0.003053529948613275,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10421],-0.06070247794388544,0.003146616233460727,6.349241037968386e-83,51862,0.034120678215294964
m2,C(ubigeo)[T.10422],-0.07740254971234697,0.0024060421026104637,4.628490276317527e-227,51862,0.034120678215294964
m2,C(ubigeo)[T.10423],-0.027546609048121264,0.0019758387199799335,3.5327434988067287e-44,51862,0.034120678215294964
m2,C(ubigeo)[T.10502],-0.05249502960319494,0.002429299850529611,1.4743470886857006e-103,51862,0.034120678215294964
m2,C(ubigeo)[T.10503],-0.13936791603928075,0.0027503616198078927,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10504],-0.133315506205418,0.0036264679392319266,7.531204985854367e-296,51862,0.034120678215294964
m2,C(ubigeo)[T.10505],-0.051022496707314915,0.002857299327314623,2.5545667127010267e-71,51862,0.034120678215294964
m2,C(ubigeo)[T.10506],-0.026971325942563122,0.0019981541364622133,1.6041580732121495e-41,51862,0.034120678215294964
m2,C(ubigeo)[T.10507],0.03207538079438983,0.0016584908981788914,2.469929058866106e-83,51862,0.034120678215294964
m2,C(ubigeo)[T.10508],-0.024248333956993842,0.0025110415453963447,4.605310281856962e-22,51862,0.034120678215294964
m2,C(ubigeo)[T.10509],-0.14817711463660418,0.003463943104681445,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10510],0.011300663949943482,0.0019682059503400087,9.378258334419021e-09,51862,0.034120678215294964
m2,C(ubigeo)[T.10511],0.056881605428683917,0.0012242903993248296,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10512],-0.08586359708610991,0.0029043653491865606,4.3868146754516605e-192,51862,0.034120678215294964
m2,C(ubigeo)[T.10602],-0.1931885196159261,0.004302922872438806,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10603],-0.17764685181007334,0.004155346341336287,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.10702],-0.1899788773382721,0.00425789566935262,0.0,51862,0.034120678215294964
