year,posicion,tipo_org,n,prob_ganar,votos_promedio
2006,1,movimiento,90,0.25555555555555554,283.05555555555554
2006,1,partido,1547,0.16612798965740141,454.4382676147382
2006,2,movimiento,270,0.18518518518518517,300.31851851851854
2006,2,partido,1367,0.19458668617410388,748.6291148500366
2006,3,movimiento,385,0.16623376623376623,268.3818181818182
2006,3,partido,1232,0.19886363636363635,948.484577922078
2006,4,movimiento,315,0.1492063492063492,330.83492063492065
2006,4,partido,1207,0.1739850869925435,663.8790389395194
2006,5,movimiento,218,0.11009174311926606,508.1788990825688
2006,5,partido,1102,0.1542649727767695,601.3947368421053
2006,6,movimiento,137,0.11678832116788321,923.5547445255474
2006,6,partido,945,0.12169312169312169,542.4010582010582
2006,7,movimiento,63,0.23809523809523808,1333.7301587301588
2006,7,partido,754,0.1259946949602122,800.7970822281167
2006,8,movimiento,20,0.15,1355.3
2006,8,partido,547,0.1206581352833638,1087.8043875685557
2006,9,movimiento,13,0.07692307692307693,1465.2307692307693
2006,9,partido,347,0.09510086455331412,1581.414985590778
2006,10,movimiento,6,0.16666666666666666,742.0
2006,10,partido,224,0.14285714285714285,1946.21875
2006,11,movimiento,2,0.5,4960.5
2006,11,partido,143,0.07692307692307693,1485.909090909091
2006,12,partido,86,0.046511627906976744,2151.4302325581393
2006,13,partido,62,0.04838709677419355,3711.6451612903224
2006,14,partido,34,0.0,3722.970588235294
2010,1,movimiento,100,0.24,260.01
2010,1,partido,1539,0.17348927875243664,471.9909031838856
2010,2,movimiento,316,0.24367088607594936,244.4240506329114
2010,2,partido,1323,0.16250944822373395,603.1700680272108
2010,3,movimiento,548,0.19525547445255476,295.33941605839414
2010,3,partido,1057,0.16556291390728478,749.2147587511826
2010,4,movimiento,571,0.18388791593695272,342.52714535901924
2010,4,partido,945,0.17883597883597885,910.4148148148148
2010,5,movimiento,475,0.18947368421052632,501.56631578947366
2010,5,partido,843,0.1506524317912218,761.3712930011862
2010,6,movimiento,328,0.11280487804878049,560.689024390244
2010,6,partido,760,0.12368421052631579,859.9144736842105
2010,7,movimiento,182,0.17032967032967034,786.8791208791209
2010,7,partido,658,0.10790273556231003,807.322188449848
2010,8,movimiento,96,0.14583333333333334,712.3854166666666
2010,8,partido,489,0.12883435582822086,1098.997955010225
2010,9,movimiento,43,0.11627906976744186,729.9302325581396
2010,9,partido,340,0.10294117647058823,1319.229411764706
2010,10,movimiento,18,0.1111111111111111,1031.3333333333333
2010,10,partido,220,0.06363636363636363,2046.009090909091
2010,11,movimiento,7,0.2857142857142857,7950.571428571428
2010,11,partido,133,0.13533834586466165,2285.09022556391
2010,12,movimiento,3,0.0,2206.0
2010,12,partido,73,0.0410958904109589,2914.095890410959
2010,13,movimiento,1,0.0,12318.0
2010,13,partido,45,0.17777777777777778,6764.2
2010,14,partido,31,0.03225806451612903,4467.709677419355
2014,1,movimiento,109,0.1743119266055046,217.6422018348624
2014,1,partido,1538,0.13914174252275682,493.1033810143043
2014,2,movimiento,272,0.21691176470588236,355.19485294117646
2014,2,partido,1375,0.18618181818181817,815.1149090909091
2014,3,movimiento,449,0.2182628062360802,394.4610244988864
